Item #,Part Name,Quantity,Material,Mass (g),Volume,SIZE,,
,,,,,,L,W,H
1,Fuel Channel_C-1,1,Stainless Steel AISI 405,430.4 ,53.8 ,8.3 ,8.3 ,2.0 
2,Fuel Channel_C-2,1,Stainless Steel AISI 405,444.6 ,55.6 ,8.7 ,8.3 ,2.0 
3,Fuel Channel_C-3,1,Stainless Steel AISI 405,458.9 ,57.4 ,8.7 ,8.7 ,2.0 
4,Fuel Channel_C-4,1,Stainless Steel AISI 405,444.6 ,55.6 ,8.7 ,8.3 ,2.0 
5,Fuel Channel_C-5,1,Stainless Steel AISI 405,1288.7 ,161.1 ,10.0 ,7.5 ,7.1 
6,Fuel Channel_C-6,1,Stainless Steel AISI 405,2214.2 ,276.8 ,10.0 ,8.4 ,8.0 
7,Fuel Channel_C-7,1,Stainless Steel AISI 405,931.7 ,116.5 ,10.0 ,8.3 ,7.9 
8,Fuel Channel_C-8,1,Stainless Steel AISI 405,1927.4 ,240.9 ,10.0 ,8.7 ,8.3 
9,Fuel Channel_C-9,1,Stainless Steel AISI 405,1977.6 ,247.2 ,10.0 ,8.8 ,8.4 
10,Fuel Channel_C-10,1,Stainless Steel AISI 405,1758.2 ,219.8 ,10.0 ,8.7 ,8.3 
11,Fuel Channel_C-11,1,Stainless Steel AISI 405,1288.7 ,161.1 ,10.0 ,7.5 ,7.1 
12,Fuel Channel_C-12,1,Stainless Steel AISI 405,1288.7 ,161.1 ,10.0 ,7.5 ,7.1 
13,Fuel Channel_C-13,1,Stainless Steel AISI 405,1288.7 ,161.1 ,10.0 ,7.5 ,7.1 
14,Fuel Channel_C-14,1,Stainless Steel AISI 405,1288.7 ,161.1 ,10.0 ,7.5 ,7.1 
15,Fuel Channel_C-15,1,Stainless Steel AISI 405,1288.7 ,161.1 ,10.0 ,7.5 ,7.1 
16,Fuel Channel_C-16,1,Stainless Steel AISI 405,1288.7 ,161.1 ,10.0 ,7.5 ,7.1 
17,Fuel Channel_C-17,1,Stainless Steel AISI 405,1288.7 ,161.1 ,10.0 ,7.5 ,7.1 
18,Fuel Channel_C-18,1,Stainless Steel AISI 405,1288.7 ,161.1 ,10.0 ,7.5 ,7.1 
19,Fuel Channel_C-19,1,Stainless Steel AISI 405,1297.4 ,162.2 ,10.0 ,7.5 ,7.1 
20,Fuel Channel_C-20,1,Stainless Steel AISI 405,1334.0 ,166.7 ,10.0 ,8.6 ,8.3 
21,Fuel Channel_C-21,1,Stainless Steel AISI 405,931.7 ,116.5 ,10.0 ,8.3 ,7.9 
22,Fuel Channel_C-22,1,Stainless Steel AISI 405,931.7 ,116.5 ,10.0 ,8.3 ,7.9 
23,Fuel Channel_C-23,1,Stainless Steel AISI 405,1073.0 ,134.1 ,10.0 ,9.0 ,8.7 
24,Fuel Channel_C-24,1,Stainless Steel AISI 405,931.7 ,116.5 ,10.0 ,8.3 ,7.9 
25,Fuel Channel_C-25,1,Stainless Steel AISI 405,931.7 ,116.5 ,10.0 ,8.3 ,7.9 
26,Fuel Channel_C-26,1,Stainless Steel AISI 405,931.7 ,116.5 ,10.0 ,8.3 ,7.9 
27,Fuel Channel_C-27,1,Stainless Steel AISI 405,1385.2 ,173.1 ,10.0 ,8.3 ,7.9 
28,Fuel Channel_C-28,1,Stainless Steel AISI 405,1068.1 ,133.5 ,10.0 ,8.4 ,8.0 
